TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
AMD,2015-05-02,,,,10.7097,,,100
AUD,2015-05-02,,,,40.7014,,,1
AZN,2015-05-02,,,,48.764,,,1
BGN,2015-05-02,,,,29.3564,,,1
BRL,2015-05-02,,,,17.2825,,,1
BYN,2015-05-02,,,,35.8366,,,1
BYR,2015-05-02,,,,35.8366,,,10000
CAD,2015-05-02,,,,42.5802,,,1
CHF,2015-05-02,,,,54.7173,,,1
CNY,2015-05-02,,,,82.4394,,,10
CZK,2015-05-02,,,,20.9234,,,10
DKK,2015-05-02,,,,76.9456,,,10
EUR,2015-05-02,,,,57.1578,,,1
GBP,2015-05-02,,,,79.1168,,,1
HUF,2015-05-02,,,,18.9053,,,100
INR,2015-05-02,,,,80.2681,,,100
JPY,2015-05-02,,,,43.0371,,,100
KGS,2015-05-02,,,,85.1313,,,100
KRW,2015-05-02,,,,47.6277,,,1000
KZT,2015-05-02,,,,27.5236,,,100
MDL,2015-05-02,,,,28.1756,,,10
NOK,2015-05-02,,,,68.5295,,,10
PLN,2015-05-02,,,,14.2357,,,1
RON,2015-05-02,,,,12.9857,,,1
SEK,2015-05-02,,,,62.0361,,,10
SGD,2015-05-02,,,,38.6683,,,1
TJS,2015-05-02,,,,81.8876,,,10
TMT,2015-05-02,,,,14.6153,,,1
TRY,2015-05-02,,,,19.2229,,,1
UAH,2015-05-02,,,,24.0653,,,10
USD,2015-05-02,,,,51.1388,,,1
UZS,2015-05-02,,,,20.5956,,,1000
XDR,2015-05-02,,,,71.4429,,,1
ZAR,2015-05-02,,,,43.3736,,,10
AMD,2015-05-05,,,,10.7097,,,100
AUD,2015-05-05,,,,40.7014,,,1
AZN,2015-05-05,,,,48.764,,,1
BGN,2015-05-05,,,,29.3564,,,1
BRL,2015-05-05,,,,17.2825,,,1
BYN,2015-05-05,,,,35.8366,,,1
BYR,2015-05-05,,,,35.8366,,,10000
CAD,2015-05-05,,,,42.5802,,,1
CHF,2015-05-05,,,,54.7173,,,1
CNY,2015-05-05,,,,82.4394,,,10
CZK,2015-05-05,,,,20.9234,,,10
DKK,2015-05-05,,,,76.9456,,,10
EUR,2015-05-05,,,,57.1578,,,1
GBP,2015-05-05,,,,79.1168,,,1
HUF,2015-05-05,,,,18.9053,,,100
INR,2015-05-05,,,,80.2681,,,100
JPY,2015-05-05,,,,43.0371,,,100
KGS,2015-05-05,,,,85.1313,,,100
KRW,2015-05-05,,,,47.6277,,,1000
KZT,2015-05-05,,,,27.5236,,,100
MDL,2015-05-05,,,,28.1756,,,10
NOK,2015-05-05,,,,68.5295,,,10
PLN,2015-05-05,,,,14.2357,,,1
RON,2015-05-05,,,,12.9857,,,1
SEK,2015-05-05,,,,62.0361,,,10
SGD,2015-05-05,,,,38.6683,,,1
TJS,2015-05-05,,,,81.8876,,,10
TMT,2015-05-05,,,,14.6153,,,1
TRY,2015-05-05,,,,19.2229,,,1
UAH,2015-05-05,,,,24.0653,,,10
USD,2015-05-05,,,,51.1388,,,1
UZS,2015-05-05,,,,20.5956,,,1000
XDR,2015-05-05,,,,71.4429,,,1
ZAR,2015-05-05,,,,43.3736,,,10
AMD,2015-05-06,,,,10.7314,,,100
AUD,2015-05-06,,,,40.7434,,,1
AZN,2015-05-06,,,,49.3633,,,1
BGN,2015-05-06,,,,29.3011,,,1
BRL,2015-05-06,,,,16.7695,,,1
BYN,2015-05-06,,,,35.8928,,,1
BYR,2015-05-06,,,,35.8928,,,10000
CAD,2015-05-06,,,,42.6936,,,1
CHF,2015-05-06,,,,55.0026,,,1
CNY,2015-05-06,,,,83.3963,,,10
CZK,2015-05-06,,,,20.9671,,,10
DKK,2015-05-06,,,,76.7743,,,10
EUR,2015-05-06,,,,57.4093,,,1
GBP,2015-05-06,,,,78.2934,,,1
HUF,2015-05-06,,,,18.997,,,100
INR,2015-05-06,,,,81.5784,,,100
JPY,2015-05-06,,,,43.029,,,100
KGS,2015-05-06,,,,87.0428,,,100
KRW,2015-05-06,,,,47.7996,,,1000
KZT,2015-05-06,,,,27.858,,,100
MDL,2015-05-06,,,,28.6745,,,10
NOK,2015-05-06,,,,67.5525,,,10
PLN,2015-05-06,,,,14.2374,,,1
RON,2015-05-06,,,,12.9413,,,1
SEK,2015-05-06,,,,61.512,,,10
SGD,2015-05-06,,,,38.7,,,1
TJS,2015-05-06,,,,82.8941,,,10
TMT,2015-05-06,,,,14.7899,,,1
TRY,2015-05-06,,,,19.0439,,,1
UAH,2015-05-06,,,,24.2423,,,10
USD,2015-05-06,,,,51.7574,,,1
UZS,2015-05-06,,,,20.8447,,,1000
XDR,2015-05-06,,,,72.4526,,,1
ZAR,2015-05-06,,,,42.875,,,10
AMD,2015-05-07,,,,10.3782,,,100
AUD,2015-05-07,,,,39.9003,,,1
AZN,2015-05-07,,,,47.6197,,,1
BGN,2015-05-07,,,,28.7317,,,1
BRL,2015-05-07,,,,16.3515,,,1
BYN,2015-05-07,,,,35.0256,,,1
BYR,2015-05-07,,,,35.0256,,,10000
CAD,2015-05-07,,,,41.5199,,,1
CHF,2015-05-07,,,,54.1044,,,1
CNY,2015-05-07,,,,80.609,,,10
CZK,2015-05-07,,,,20.4918,,,10
DKK,2015-05-07,,,,75.2882,,,10
EUR,2015-05-07,,,,56.1843,,,1
GBP,2015-05-07,,,,75.8171,,,1
HUF,2015-05-07,,,,18.4278,,,100
INR,2015-05-07,,,,78.5967,,,100
JPY,2015-05-07,,,,41.7261,,,100
KGS,2015-05-07,,,,83.0259,,,100
KRW,2015-05-07,,,,46.2463,,,1000
KZT,2015-05-07,,,,26.8979,,,100
MDL,2015-05-07,,,,27.706,,,10
NOK,2015-05-07,,,,66.4508,,,10
PLN,2015-05-07,,,,13.8599,,,1
RON,2015-05-07,,,,12.6606,,,1
SEK,2015-05-07,,,,60.2449,,,10
SGD,2015-05-07,,,,37.6481,,,1
TJS,2015-05-07,,,,79.4178,,,10
TMT,2015-05-07,,,,14.2845,,,1
TRY,2015-05-07,,,,18.483,,,1
UAH,2015-05-07,,,,23.8008,,,10
USD,2015-05-07,,,,49.9816,,,1
UZS,2015-05-07,,,,19.8576,,,1000
XDR,2015-05-07,,,,69.9283,,,1
ZAR,2015-05-07,,,,41.6323,,,10
AMD,2015-05-08,,,,10.4615,,,100
AUD,2015-05-08,,,,39.9921,,,1
AZN,2015-05-08,,,,48.0778,,,1
BGN,2015-05-08,,,,29.2256,,,1
BRL,2015-05-08,,,,16.6034,,,1
BYN,2015-05-08,,,,35.3414,,,1
BYR,2015-05-08,,,,35.3414,,,10000
CAD,2015-05-08,,,,41.7107,,,1
CHF,2015-05-08,,,,55.1725,,,1
CNY,2015-05-08,,,,81.1366,,,10
CZK,2015-05-08,,,,20.8519,,,10
DKK,2015-05-08,,,,76.5838,,,10
EUR,2015-05-08,,,,57.2207,,,1
GBP,2015-05-08,,,,76.4236,,,1
HUF,2015-05-08,,,,18.6372,,,100
INR,2015-05-08,,,,78.3867,,,100
JPY,2015-05-08,,,,42.2124,,,100
KGS,2015-05-08,,,,84.8029,,,100
KRW,2015-05-08,,,,46.2024,,,1000
KZT,2015-05-08,,,,27.1052,,,100
MDL,2015-05-08,,,,28.0878,,,10
NOK,2015-05-08,,,,68.5405,,,10
PLN,2015-05-08,,,,14.0424,,,1
RON,2015-05-08,,,,12.8667,,,1
SEK,2015-05-08,,,,61.517,,,10
SGD,2015-05-08,,,,37.8317,,,1
TJS,2015-05-08,,,,80.0151,,,10
TMT,2015-05-08,,,,14.3911,,,1
TRY,2015-05-08,,,,18.5843,,,1
UAH,2015-05-08,,,,24.4473,,,10
USD,2015-05-08,,,,50.3615,,,1
UZS,2015-05-08,,,,20.0245,,,1000
XDR,2015-05-08,,,,70.7599,,,1
ZAR,2015-05-08,,,,41.6658,,,10
AMD,2015-05-09,,,,10.5643,,,100
AUD,2015-05-09,,,,40.134,,,1
AZN,2015-05-09,,,,48.4174,,,1
BGN,2015-05-09,,,,29.1405,,,1
BRL,2015-05-09,,,,16.7706,,,1
BYN,2015-05-09,,,,35.4903,,,1
BYR,2015-05-09,,,,35.4903,,,10000
CAD,2015-05-09,,,,41.9223,,,1
